ID,Cutting speed vc [m/min],Spindle speed n [1/min],Feed f [mm/rev],Feed rate vf [mm/min],Power Pc [kW],Cooling [%],Material,Drill Bit Type,Process Time [sec],Main Failure,BEF,CCF,FWF,WDF
131,17.32,459,0.252,116,75.64,50,K,H,33.84,0,0,0,0,0
132,30.3,804,0.271,218,248.73,100,N,W,19.29,0,0,0,0,0
133,22.78,604,0.197,119,101.97,50,P,N,36.31,0,0,0,0,0
134,22.52,597,0.169,101,85.77,25,P,N,34.73,0,0,0,0,0
135,22.58,599,0.185,111,94.09,50,P,N,36.38,0,0,0,0,0
136,22.42,595,0.189,112,94.79,50,P,N,33.28,0,0,0,0,0
137,30.46,808,0.278,225,257.88,100,N,W,19.55,0,0,0,0,0
138,17.56,466,0.251,117,77.37,50,K,H,34.28,0,0,0,0,0
139,16.67,442,0.202,149,56.25,0,K,H,34.06,1,1,1,1,0
140,22.19,589,0.166,127,81.7,25,P,N,36.12,1,0,1,0,0
141,30.48,808,0.273,221,253.96,100,N,W,19.97,0,0,0,0,0
142,17.28,458,0.234,107,69.84,25,K,H,34.83,0,0,0,0,0
143,17.24,457,0.251,115,74.45,50,K,H,33.37,0,0,0,0,0
144,17.39,461,0.272,126,82.36,50,K,H,31.33,0,0,0,0,0
145,17.14,455,0.208,94,61.03,25,K,H,32.51,0,0,0,0,0
146,22.64,601,0.171,134,87.68,25,P,N,33.5,1,0,1,0,0
147,22.76,604,0.19,115,98.65,50,P,N,35.33,0,0,0,0,0
148,23.06,612,0.185,113,98.42,50,P,N,35.32,0,0,0,0,0
149,22.74,603,0.195,118,100.93,50,P,N,35.13,0,0,0,0,0
150,22.21,589,0.17,100,83.88,25,P,N,33.35,0,0,0,0,0
151,18.07,479,0.291,140,95.03,75,K,H,32.59,0,0,0,0,0
152,22.91,608,0.199,121,104.71,50,P,N,33.75,0,0,0,0,0
153,29.53,783,0.224,176,195.42,75,N,W,19.13,0,0,0,0,0
154,29.84,791,0.231,183,205.42,75,N,W,19.7,0,0,0,0,0
155,17.55,465,0.269,125,82.74,50,K,H,33.34,0,0,0,0,0
156,16.9,448,0.242,109,69.25,25,K,H,33.8,0,0,0,0,0
157,17.61,467,0.261,122,80.9,50,K,H,33.66,0,0,0,0,0
158,30.28,803,0.248,200,227.76,75,N,W,19.19,0,0,0,0,0
159,17.42,462,0.263,121,79.65,50,K,H,33.39,0,0,0,0,0
160,22.49,597,0.171,102,86.63,25,P,N,36.36,0,0,0,0,0
161,29.73,789,0.232,183,204.57,75,N,W,19.68,0,0,0,0,0
162,17.31,459,0.245,113,73.43,50,K,H,34.41,0,0,0,0,0
163,23.11,613,0.214,131,114.42,75,P,N,34.53,0,0,0,0,0
164,17.23,457,0.248,113,73.58,50,K,H,34.4,0,0,0,0,0
165,22.02,584,0.128,75,61.95,0,P,N,34.59,0,0,0,0,0
166,22.41,595,0.159,94,79.68,25,P,N,35.2,0,0,0,0,0
167,29.85,792,0.245,194,218.22,75,N,W,18.86,0,0,0,0,0
168,30.09,798,0.228,182,206.64,75,N,W,18.85,0,0,0,0,0
169,17.3,459,0.267,123,79.89,50,K,H,32.15,0,0,0,0,0
170,22.37,593,0.136,81,68.29,0,P,N,33.37,0,0,0,0,0
171,21.94,582,0.13,97,62.49,0,P,N,33.61,1,1,0,0,0
172,17.61,467,0.257,120,79.56,50,K,H,32.95,0,0,0,0,0
173,30.06,797,0.245,195,221.14,75,N,W,19.64,0,0,0,0,0
174,22.46,596,0.188,112,95.05,50,P,N,35.76,0,0,0,0,0
175,22.16,588,0.14,107,69,0,P,N,35.31,0,0,0,0,0
176,22.51,597,0.185,110,93.66,50,P,N,34.76,0,0,0,0,0
177,17.74,471,0.249,117,78.25,50,K,H,32.85,0,0,0,0,0
178,30.16,800,0.243,195,221.23,75,N,W,19.01,0,0,0,0,0
179,17.31,459,0.225,103,67.51,25,K,H,31.96,0,0,0,0,0
180,17.28,458,0.236,108,70.33,25,K,H,32.5,0,0,0,0,0
181,17.17,455,0.255,116,75.14,50,K,H,32.1,0,0,0,0,0
182,22.95,609,0.205,125,107.98,50,P,W,34.87,1,0,0,0,1
183,29.62,786,0.209,210,183.36,75,N,W,19.07,1,0,0,1,0
184,22.69,602,0.163,98,83.96,25,P,N,34.88,0,0,0,0,0
185,29.96,795,0.233,185,209.01,75,N,W,18.2,0,0,0,0,0
186,22.71,602,0.173,104,89.08,50,P,N,35.29,0,0,0,0,0
187,17.34,460,0.229,105,68.89,25,K,H,31.37,0,0,0,0,0
188,17.42,462,0.25,116,76.01,50,K,N,32.38,1,0,0,0,1
189,29.47,782,0.212,165,183.76,75,N,W,20.41,0,0,0,0,0
190,22.63,600,0.172,103,87.91,25,P,N,37.98,0,0,0,0,0
191,30.23,802,0.249,199,227.36,75,N,W,18.12,0,0,0,0,0
192,29.42,780,0.207,162,179.47,75,N,W,18.95,0,0,0,0,0
193,17.11,454,0.228,103,66.61,25,K,W,31.63,1,0,1,0,1
194,16.94,449,0.235,138,67.57,25,K,H,33.03,1,0,1,0,0
195,16.99,451,0.227,133,65.6,25,K,H,32.82,1,0,1,0,0
196,22.51,597,0.181,108,91.65,50,P,N,35.46,0,0,0,0,0
197,17.1,454,0.24,109,70.15,50,K,H,33.41,0,0,0,0,0
198,17.67,469,0.264,124,82.51,50,K,H,33.46,0,0,0,0,0
199,29.86,792,0.241,191,214.49,75,N,W,19,0,0,0,0,0
200,29.96,795,0.262,208,234.98,100,N,W,19.61,0,0,0,0,0
201,17.44,463,0.231,107,70.3,25,K,H,32.06,0,0,0,0,0
202,17.61,467,0.271,126,83.96,50,K,H,31.07,0,0,0,0,0
203,29.66,787,0.218,219,191.42,75,N,W,18.32,1,0,0,1,0
204,17.64,468,0.254,119,79.18,50,K,H,33.89,0,0,0,0,0
205,17.23,457,0.245,112,72.62,50,K,H,33.58,0,0,0,0,0
206,29.64,786,0.226,227,198.52,75,N,W,21,1,0,0,1,0
207,29.97,795,0.261,208,234.7,100,N,W,19.19,0,0,0,0,0
208,17.53,465,0.252,117,77.52,50,K,H,32.43,0,0,0,0,0
209,17.66,469,0.261,122,81.45,50,K,H,32.24,0,0,0,0,0
210,17.72,470,0.252,119,79.2,50,K,H,33.99,0,0,0,0,0
211,22.91,608,0.202,123,105.97,50,P,N,34.32,0,0,0,0,0
212,22.78,604,0.185,112,96.22,50,P,N,34.78,0,0,0,0,0
213,17.62,467,0.263,123,81.79,50,K,H,33.2,0,0,0,0,0
214,22.69,602,0.178,107,91.62,50,P,N,34.63,0,0,0,0,0
215,30.21,801,0.255,204,232.49,100,N,W,21.17,0,0,0,0,0
216,22.83,606,0.201,122,104.83,50,P,N,35.91,0,0,0,0,0
217,22.31,592,0.15,89,74.55,0,P,N,34.73,0,0,0,0,0
218,22.29,591,0.153,90,75.84,25,P,N,35.57,0,0,0,0,0
219,22.27,591,0.152,90,75.65,25,P,N,35.9,0,0,0,0,0
220,17.38,461,0.243,112,73.26,50,K,H,33.14,0,0,0,0,0
221,22.89,607,0.2,121,104.54,50,P,N,34.05,0,0,0,0,0
222,30.33,805,0.267,215,245.43,100,N,W,21.02,0,0,0,0,0
223,17.59,467,0.269,126,83.26,50,K,H,33.93,0,0,0,0,0
224,22.31,592,0.156,92,77.67,25,P,N,34.32,0,0,0,0,0
225,29.96,795,0.24,190,215.16,75,N,W,18,0,0,0,0,0
226,30.24,802,0.254,203,231.96,100,N,W,18.57,0,0,0,0,0
227,17.08,453,0.238,108,69.49,25,K,H,33.6,0,0,0,0,0
228,22.68,602,0.212,127,108.95,75,P,N,36.14,0,0,0,0,0
229,23.02,611,0.21,128,111.11,75,P,N,34.14,0,0,0,0,0
230,17.72,470,0.267,126,83.89,50,K,H,32.94,0,0,0,0,0
231,16.87,448,0.235,105,66.96,25,K,H,32.47,0,0,0,0,0
232,22.64,601,0.2,120,102.39,50,P,N,34.65,0,0,0,0,0
233,17.7,470,0.278,131,87.16,75,K,H,31.59,0,0,0,0,0
234,29.89,793,0.247,196,220.59,75,N,W,19.67,0,0,0,0,0
235,22.48,596,0.176,105,89.17,50,P,N,34.41,0,0,0,0,0
236,22.58,599,0.183,109,93.06,50,P,N,34.9,0,0,0,0,0
237,23.3,618,0.217,134,118.11,75,P,N,35.91,0,0,0,0,0
238,22.48,596,0.188,112,94.93,50,P,N,35.1,0,0,0,0,0
239,17.2,456,0.24,110,71.1,50,K,H,33.36,0,0,0,0,0
240,17.03,452,0.235,106,68.15,25,K,H,34.49,0,0,0,0,0
241,22.75,604,0.195,118,100.9,50,P,N,34.01,0,0,0,0,0
242,22.6,599,0.187,112,95.35,50,P,N,34.01,0,0,0,0,0
243,29.84,792,0.216,171,192.13,75,N,W,20.65,0,0,0,0,0
244,22.43,595,0.18,107,90.37,50,P,N,33.41,0,0,0,0,0
245,30.44,807,0.278,225,257.83,100,N,W,21.05,0,0,0,0,0
246,29.82,791,0.238,188,211.29,75,N,W,19.01,0,0,0,0,0
247,17.07,453,0.24,109,70.11,50,K,H,32.24,0,0,0,0,0
248,17.52,465,0.242,113,74.32,50,K,H,32.89,0,0,0,0,0
249,22.51,597,0.193,115,97.72,50,P,N,34.39,0,0,0,0,0
250,16.8,446,0.211,94,59.65,0,K,H,32.69,0,0,0,0,0
251,29.52,783,0.205,161,178.78,75,N,W,17.51,0,0,0,0,0
252,16.9,448,0.229,102,65.3,25,K,H,32.98,0,0,0,0,0
253,17.12,454,0.237,108,69.6,25,K,H,33.8,0,0,0,0,0
254,22.79,604,0.187,113,97.09,50,P,N,36.19,0,0,0,0,0
255,17.59,467,0.26,121,80.47,50,K,H,33.33,0,0,0,0,0
256,17.31,459,0.251,115,75.23,50,K,H,31.4,0,0,0,0,0
257,30.28,803,0.256,205,234.36,100,N,W,19.11,0,0,0,0,0
258,17.89,475,0.266,126,85.08,50,K,H,31.05,0,0,0,0,0
259,16.76,445,0.219,97,61.56,25,K,H,34.15,0,0,0,0,0
260,29.29,777,0.172,134,147.84,75,N,W,19.48,0,0,0,0,0
261,22.55,598,0.179,107,90.81,50,P,N,35.87,0,0,0,0,0
262,29.86,792,0.232,184,206.94,75,N,W,19.42,0,0,0,0,0
263,30.13,799,0.245,196,222.63,75,N,W,20.33,0,0,0,0,0
264,30.03,796,0.24,191,216.68,75,N,W,18.71,0,0,0,0,0
265,22.45,596,0.191,114,96.45,50,P,N,34.18,0,0,0,0,0
266,23.16,614,0.213,131,114.48,75,P,N,35.46,0,0,0,0,0
267,17.64,468,0.279,131,86.85,75,K,H,31.79,0,0,0,0,0
268,29.51,783,0.19,190,165.35,75,N,W,19.5,0,0,0,0,0
269,22.96,609,0.2,122,105.53,50,P,N,34.8,0,0,0,0,0
270,29.56,784,0.227,227,197.97,75,N,W,20.7,1,0,0,1,0
271,22.82,605,0.213,129,110.97,75,P,N,34.97,0,0,0,0,0
272,17.33,460,0.246,113,73.94,50,K,H,31.28,0,0,0,0,0
273,17.06,452,0.204,93,59.49,0,K,H,32.16,0,0,0,0,0
274,29.78,790,0.244,193,216.13,75,N,W,19.43,0,0,0,0,0
275,29.67,787,0.228,179,200.26,75,N,W,20.56,0,0,0,0,0
276,29.55,784,0.234,184,204.54,75,N,W,19.68,0,0,0,0,0
277,30.37,806,0.255,205,235.04,100,N,W,20.71,0,0,0,0,0
278,17.08,453,0.245,111,71.52,50,K,H,32.62,0,0,0,0,0
279,30.31,804,0.271,218,248.81,100,N,W,18.77,0,0,0,0,0
280,22.61,600,0.184,110,93.99,50,P,N,35.11,0,0,0,0,0
281,22.74,603,0.183,110,94.66,50,P,N,33.96,0,0,0,0,0
282,30.58,811,0.265,215,247.99,100,N,W,19.3,0,0,0,0,0
283,17.18,456,0.24,109,70.83,50,K,H,34.56,0,0,0,0,0
284,17.42,462,0.241,112,73.29,50,K,H,34.3,0,0,0,0,0
285,29.61,785,0.214,168,187.22,75,N,W,21.68,0,0,0,0,0
286,17.29,459,0.246,113,73.41,50,K,H,33.14,0,0,0,0,0
287,17.01,451,0.223,100,64.38,25,K,H,30.83,0,0,0,0,0
288,29.85,792,0.223,177,198.93,75,N,W,19.3,0,0,0,0,0
289,30.29,803,0.265,213,243.35,100,N,W,18.37,0,0,0,0,0
290,17.3,459,0.264,121,78.88,50,K,H,33.01,0,0,0,0,0
291,22.95,609,0.198,120,104.16,50,P,N,35.15,0,0,0,0,0
292,22.91,608,0.195,118,102.17,50,P,N,32.64,0,0,0,0,0
293,29.85,792,0.226,179,201.03,75,N,W,19.91,0,0,0,0,0
294,23,610,0.219,134,116.05,75,P,N,34.62,0,0,0,0,0
295,17.72,470,0.268,126,84.28,50,K,H,31.73,0,0,0,0,0
296,23,610,0.201,123,106.55,50,P,N,33.6,0,0,0,0,0
297,30.05,797,0.246,196,222.33,75,N,W,19.76,0,0,0,0,0
298,29.86,792,0.239,189,212.91,75,N,W,19.6,0,0,0,0,0
299,17.48,464,0.245,114,74.87,50,K,H,35.17,0,0,0,0,0
300,17.45,463,0.284,131,86.36,75,K,H,32.55,0,0,0,0,0
301,22.75,603,0.204,123,105.82,50,P,N,34.43,0,0,0,0,0
302,30.08,798,0.244,194,220.33,75,N,W,20.11,0,0,0,0,0
303,22.54,598,0.161,96,81.7,25,P,N,32.4,0,0,0,0,0
304,22.37,593,0.176,105,88.19,50,P,N,35.95,0,0,0,0,0
305,17.57,466,0.26,121,80.14,50,K,H,32.52,0,0,0,0,0
306,23.43,622,0.246,153,134.87,75,P,N,33.3,0,0,0,0,0
307,29.98,795,0.241,192,216.64,75,N,W,19.18,0,0,0,0,0
308,30.19,801,0.248,199,226.31,75,N,W,20.26,0,0,0,0,0
309,30.32,804,0.264,212,242.42,100,N,W,19.9,0,0,0,0,0
310,22.75,603,0.175,106,90.61,50,P,N,33.77,0,0,0,0,0
311,17.45,463,0.258,120,78.6,50,K,H,33.92,0,0,0,0,0
312,16.99,451,0.216,97,62.32,25,K,H,33.36,0,0,0,0,0
313,29.66,787,0.232,183,204.46,75,N,W,19.81,0,0,0,0,0
314,17.61,467,0.244,114,75.77,50,K,H,33.26,0,0,0,0,0
315,30.03,796,0.227,181,204.76,75,N,W,21.41,0,0,0,0,0
316,17.41,462,0.257,119,77.79,50,K,H,33.73,0,0,0,0,0
317,16.81,446,0.234,104,66.08,25,K,H,31.57,0,0,0,0,0
318,29.97,795,0.229,182,205.26,75,N,W,20.25,0,0,0,0,0
319,23.33,619,0.242,150,131.61,75,P,N,34.05,0,0,0,0,0
320,22.72,603,0.184,111,95.06,50,P,N,35.41,0,0,0,0,0
321,22.9,607,0.206,125,108.21,75,P,N,34.72,0,0,0,0,0
322,16.67,442,0.201,89,56.01,0,K,H,33.04,1,1,0,0,0
323,29.56,784,0.213,167,186.25,75,N,W,20,0,0,0,0,0
324,30.32,804,0.245,197,225.12,75,N,W,18.04,0,0,0,0,0
325,22.47,596,0.18,107,90.88,50,P,N,36.57,0,0,0,0,0
326,16.5,438,0.218,122,59.42,25,K,H,32.15,1,1,0,0,0
327,16.77,445,0.216,96,60.68,25,K,H,32.42,0,0,0,0,0
328,17.33,460,0.25,115,74.94,50,K,H,32.92,0,0,0,0,0
329,17.61,467,0.246,115,76.32,50,K,H,31.01,0,0,0,0,0
330,17.77,471,0.272,128,85.9,50,K,H,32.9,0,0,0,0,0
331,22.65,601,0.17,133,87.13,25,P,N,34.4,1,0,1,0,0
332,17.39,461,0.255,118,77.08,50,K,H,32.37,0,0,0,0,0
333,22.63,600,0.187,112,95.8,50,P,N,34.82,0,0,0,0,0
334,29.62,786,0.198,199,173.43,75,N,W,20.22,0,0,0,0,0
335,22.57,599,0.166,99,84.63,25,P,N,34.53,0,0,0,0,0
336,22.57,599,0.182,109,92.76,50,P,N,34.04,0,0,0,0,0
337,16.97,450,0.208,94,59.9,0,K,H,32.35,0,0,0,0,0
338,22.31,592,0.154,91,76.78,25,P,N,36.01,0,0,0,0,0
339,17.33,460,0.245,113,73.63,50,K,H,34.13,0,0,0,0,0
340,17.71,470,0.267,126,83.8,50,K,H,32.3,0,0,0,0,0
341,30.21,801,0.252,202,230.31,75,N,W,20.55,0,0,0,0,0
342,29.6,785,0.229,180,200.59,75,N,W,20.63,0,0,0,0,0
343,22.38,594,0.15,89,75.22,25,P,N,35.17,0,0,0,0,0
344,30.13,799,0.258,206,233.83,100,N,W,19.11,0,0,0,0,0
345,22.74,603,0.179,108,92.72,50,P,N,35.29,0,0,0,0,0
346,17.41,462,0.244,112,73.81,50,K,H,34.93,0,0,0,0,0
347,17.43,462,0.249,115,75.64,50,K,H,35.71,0,0,0,0,0
348,30.2,801,0.252,202,230.01,75,N,W,19.1,0,0,0,0,0
349,17.26,458,0.246,113,73.3,50,K,H,33.23,0,0,0,0,0
350,29.6,785,0.219,220,191.99,75,N,W,19.61,1,0,0,1,0
351,22.25,590,0.155,91,76.47,25,P,N,35.35,0,0,0,0,0
352,30.31,804,0.264,212,242.25,100,N,W,17.84,0,0,0,0,0
353,17.27,458,0.249,114,74.2,50,K,H,32.84,0,0,0,0,0
354,17.49,464,0.252,117,77.15,50,K,H,32.62,0,0,0,0,0
355,29.61,785,0.242,243,212.03,75,N,W,20.37,1,0,0,1,0
356,17.42,462,0.271,125,82.2,50,K,H,32.13,0,0,0,0,0
357,22.59,599,0.193,116,98.39,50,P,N,34.95,0,0,0,0,0
358,22.78,604,0.19,115,98.49,50,P,N,35.98,0,0,0,0,0
359,29.51,783,0.208,209,181.27,75,N,W,20.25,1,0,0,1,0
360,22.49,597,0.185,110,93.62,50,P,N,32.48,0,0,0,0,0
361,22.87,607,0.198,120,103.72,50,P,N,35.45,0,0,0,0,0
362,17.38,461,0.256,118,77.43,50,K,H,32.93,0,0,0,0,0
363,29.83,791,0.245,194,218.23,75,N,W,20.64,0,0,0,0,0
